Index,Reviews,movie_name,emotion
22,one definitely better original funnier smoother pace places better acting plus martin short screen time great great movie anyone like good clean comedy awesome five five moose stars,Father of the Bride Part II,sadness
23,love steve martin disappointed first movie wasnt expecting much one surprise one even better constantly funny like one expect steve martin preoccupied corny emotion like first movie steve martin best performance since blue heaven sometimes sequels surprisingly good one better comedic elements stagnant first movie everything first movie,Father of the Bride Part II,sadness
24,movie great think one best movies ever made love father bride ii think cute mother daughter pregnant time hope come father bride part iii would awesome,Father of the Bride Part II,sadness
25,movie rocks one thing weird okay beginning annie says lived since 5 later right selling house playing basketball annie georgeher dad dad says remember first time played 4 waitso 4 5 moved movie makes laugh crybecause laugh much anduhwhat thing people say say dont really remember love steve martin always cheap forced say say love movie always hbo realized something steve martin white hair like forever,Father of the Bride Part II,sadness
26,take big moment movie trailers touted supposed meeting giants coffee scene deniro pacino legendary film actors credentials undeniable possessed allow scene get screen beyond 10 years old could written dialog kids fact written dialog many people put pen paper ever drawn coprobber dramatic films going brother need say morethen read reviews even stunned eliminate horrific pacinodeniro scene decent movie perhaps would given 5 plot lines meaningless movie tried hard something direction rest script wasnt shakespeare either wasnt big scene kilmers part comical dont think intentanyway suppose based unbelievable reviews movie vast minority havent seen yet would say assume degree film intellect expect see read reviews go expecting much may well enjoy ordinary movie go expected best movie 90s masterpiece may sorely disappointed laugh reviews days utterly amazing otherwise intelligent people could hypnotized hype film guys best 5 10,Heat,disgust
27,passes epic cinema days found heat noisy bombastic self reverential cops robbers bore gun battles drags three hour yes three running timedetective vin hanna al pacino standout cop almost many bad marriages commendations neil maccauley robert dinero career criminal always bent big score men methodical take great pride professionalism botching brinks job hanna pursues gang beginning fray edges mac cauley realizes tough get good help days decides one last score calling quitsshowcasing biggest meeting since truman met stalin potsdam director michael mann treats first meeting pacino dinero together godfather 2 appeared scenes together solemnity two actors wheeze moment nothing new revelatory say show manly respect understanding problem scene closely identified highly regarded actors characters play star wattage well skills may dimmed 95 legendary status carried lot weight interesting two old codgers reminiscing old folks home porch rings hollow like rest lumbering elephant filmthe convoluted plot filled forgettable characters allow mann wander around la spreading gratuitous violence women film relegated looking tired concerned boy friends acting sounding boards guys spew mannly philosophy honor true skillsthe action scenes big loud bloody poorly edited ridiculous la empties let boys shoot grand fashion streets badly paced montage al bobby dashing avenues big weapons size everything mannplaying cops robbers runs steam run bulletsby time made heat pacino dinero peaked self parody though pacino would go give stellar performance worthy early years roy cohn angels america shows lackluster tired performances magnified even film stealing effort turned val kilmer gang member chris kilmers energy self confident way moves acts delivers passion two stars lackas films mann explores theme moral relativism usual heavy handed pretension attempting bestow nobility good well bad solemnizing whole ponderous affair elliot goldenthals vapid score appropriate coronation shootem upin heat maccauley states never anything life cant walk thirty seconds flat one keep mind watching big helium balloon hot air,Heat,disgust
28,seen almost every classic influential crime drama past 30 years finally got around seeing heat heard influential movies video games couldnt believe waited long see movie boy disappointed movie far masterpiece led believe couple great crime scenes little bit great action cant think much film would make want see againwhile wouldnt characterize acting bad cant think anyone movie gave performance among better ones al pacino practically caricature entire time overacts every scene yells half lines robert deniro scowl face speaks pretty much voice whole movie pacino deniro fans looking tough guy porn find plenty hereultimately heat movie could made better cutting half content loaded characters poorly developed dramatically presented supposed give crap one gets killed four minutes screen time see grieving wife rather cry kind rolled eyes another gang members death presented drama akin squad mate getting killed war movie could cared less val kilmers subplot centers around tenuous relationship wife al pacino lousy third marriage robert deniro somehow manages romance side plot neither relevant believablethere even suicide attempt scene nothing whatsoever story – diversion scratching head wondering much celluloid wasted without exception every single scene female could left cutting room floor one shred value would lost none characters sympathetic well developed enough want see romances work able share pain would worked well maybe television series would time develop characters side plot material really boringone draws movie seems realistic non ideal take human behavior okay get going go realistic approach dont ruin occasional unbelievable scene plot hole biggest offender famous bank robbery scene middle movie would spectacular action movie didnt take seriously heat couldnt stop thinking absurd guys automatic weapons able cut entire lapd like hot knife butter escaping clean process still greatly enjoyed scene largely great action scene well choreographed shot however sort place filmill give heat credit bythenumbers cops robbers movie maybe uniqueness time release made popular upon reflection though many crime caper movies past decades entertaining one scarface reservoir dogs usual suspects name didnt hate movie certainly dont think deserves place top 10 greatest crime dramas,Heat,disgust
29,micheal mannsdirector insider manhunter smooth straightforward direction studded brilliant memorable cinematic gems heat bullet riddled drama yes al pacino robert de niro first screen meetingwhat want hear heat deniros best performance pacinos best performance id lying said performances improve story absolutely mann written wrote well complex exciting twosided story develops hunter vincent hanna pacino hunted neil mccauley de niro separately throughout much film underneath hail bullets mann able paint lead characters brush delving similarly tragic chaotic personal lives hanna mccauley allowing final epic scene would pretentious excellent performances pacino de nirobottom line seen movie akin idiocy anyone claiming fan movies 9 10,Heat,disgust
30,movie potential scary movie creativity mastering doll scariest toy ever seen production ghost ohhh gosh original exorcist 1973 without cgi phenomenal job creating regan spooky play several actors people get another jobs bad dialogues made movie silly bad lighting sound performers running foot factory house back thought toy factory located miles house got netflix though terrible,Sabrina,anticipation
32,wasnt expecting much wasnt wrong mess full plot holes ok want laugh,Sabrina,anticipation
34,overrated boring stupid plot film point waste time trash,Sabrina,anticipation
36,bad mix guillermo del toros mamma anabelle conjuring nothing special film probably nothing may watch one high expectations,Sabrina,anticipation
38,ever wonder kenny g would look like possessed wonder parts good others made wonder havent stopped movie really didnt care ended opened pinterest playing background husband fell asleep,Sabrina,anticipation
40,know wanna watch something like using 30 brain thats movie bad movie good distraction actually scary though,Sabrina,anticipation
42,netflixs indonesian horror film engine running fullbore high grotesque witches vibrantly colored worlds juvenile writing chugging lot black smoke choking viewers death sabrina fourth horror release come indonesia recent times 3rd eye kuntilanak may devil take youall movies many commonalities decent actors feature vibrant colorsthe kinds see kindergarten playrooms kinds unfit scary movieseven stephen kings mischievous clown used toneddown palette infested tarvomiting wallclimbing demons finally story telleven within indonesian horror universe movie clearly worst lot farso say goodbye sabrina even say hellochucky annabelle snigger,Sabrina,anticipation
44,idk kenny g movies 🤔🤣 movie upset like still watching admit ending made cry,Sabrina,anticipation
46,cheesy colorful adventure full horror movie would say targeted towards preteens dont expect much though writing acting garbage,Sabrina,anticipation
48,sabrina neat little film ruined number flaws prevent something really specialthis indonesian made netflix original first glimpse youd assume killer dollesque movie couldnt truth youre looking chucky robert doll youll sorely disappointed possession type filmnow regarding possession subgenre generally dont like tropes hold tend bore thankfully throw window go something somewhat excitingnow cant say much plot without giving something away ill bother however say story finally laid front think youll pleasantly surprised well constructed much predictableagain mentioned sadly film flaws couple regard story one near end took potential 7 6 another lack consistency plays like serious horror yet moments ultra cheesiness ruin atmosphere altogetherregardless fun exciting oddly scary places little film youd expect despite underwhelming rating would recommend thisthe goodsurprisingly well constructed plotsome genuinely creepy momentsthe badsome poor cameraworkbizarre soundtrack choicesoddly cheesy placessilly finalei struggled tell two leading ladies apartthings learnt movieim left wondering casting director specifically sought sickest looking girl could roledemonic possession causes nose growth,Sabrina,anticipation
50,movie everything need life horror stabbing hollywood clichés curly demon,Sabrina,anticipation
52,great horrorsupernatural tale great makeup acting cinematography true fan international film look next two hours disappointed,Sabrina,anticipation
54,solving deadly case husbandandwife looking orphaned niece find connection special doll made company causes sudden outpouring supernatural activity towards retaliation actions years ago must find way contain evil spiritfor maligned film one turned rather enjoyable one strongest aspects supernatural elements quite prominent creating wholly chilling atmosphere opening sequence rescuing possessed woman house offers nice start dropping us world rather early eerie sequence daughter searching mother darkened house driving rainstorm playing board game contact offers nice imagery moves trying drive mother crazy one provides outright chilling sequences work rather well common trope childs toy used ghostfinder throughout house brings great scenes searching house alone interacting offscreen claims mother really bring great times one early setup film allows fun occur second half already fully aware something going film ratchets tension scares explosion supernatural activity fateful vacation trip tropical island rife incredible scenes collection shells along beach mention mothers presence location along traumatic burial sand get pulled quickly buried follows highlight reel montage inside reception hall piano ghost chase closet providing one greatest jumpscares film coming back include final encounter husband extended charged sequence makes truly chilling creepy sequence thats far better expected back home seance ritual understand situation well resolution opening confrontation offer expected setup actionpacked finale really works strong rituals ceremonies presenting battle demonic around factory doll produced alongside gory murders fine demon makeup hold one minor flaws main issue contend tolerance cliches present since plays almost exactly like films involving particular setup surprise whats going film rips many scenes tropes films ranging writing childs stories seeing deceased around openly admitting disobeyed instructions mother disbelieving spouse wont listen reason due innocence child involved along favorable attitude towards jumpscares pay tenser moments brought numerous films playing familiar concept likewise films reliance explaining everything voiceover flashbacks gets rather tedious jumping around timeline offer confusion whats going moment otherwise isnt much dislike hererated unratedr graphic violence language continuous themes childreninjeopardy,Sabrina,anticipation
56,loved movie horror suspense fear story relation love everything wife enjoyed well,Sabrina,anticipation
58,tom sawyer jonathan taylor thomas runs away rescued huck finn brad renfro see injun joe muff potter digging grave vic oneeyed murrell retrieve treasure map doctor robinson injun joe murders doc robinson muffs knife muff arrested murder tom torn oath huck need exonerate innocent manthe production looks weak disney doesnt needed edge doesnt even disney money story many killings kiddie movie movie doesnt grittiness feel real jonathan taylor thomas used thing back day hes cute twinkle eye dont lay much doesnt toughness unlike brad renfro rachael leigh cook cutie one movies tone place,Tom and Huck,fear
59,mischievous young boy tom sawyer jonathan taylor thomaswitnesses murder deadly injun joe tom becomes friends huckleberry finn brad renfro boy future familygoing top 250 lists various years somehow ended list 1996 lists 1996 2014 first list bizarre others films clearly belong none 1996 list prime example film barely ranks 5 10 manage considered one best time bad film far kid stories go alright worst introduction world mark twain clearly intended masterpiece like something one might see hallmark channel showcase nowforgotten jonathan taylor thomas,Tom and Huck,fear
60,things tom huck right three best things production values score eric schweig injun joe film looks pretty quite evocative costumes sets score memorable relaxing schweig perfect injun joe genuinely menacing though writers perhaps go little overboard villainous somewhat violent side brad renfro well huck character come across sullen hard renfro suitably mischievous brings fun amongst bringing somewhat conflicted side huck effective scenes graveyard scene atmospheric moment injun joe starts stirstirs tom reaching map sends chills spine whitewashing scene charming well mixed feelings assets jonathan taylor thomasof tom huck like vehicle early career makes spirited tom dramatic momentsthe courtroom scene quite good though show signs inexperience peter hewitts filmography hit miss tom huck one better films thankfully another zoom thunderpants best film always bill teds bogus journeythat borrowers films ive seen far ones ratings better decent tom huck failings though worst case grossly outofkilter way becky written selfish bitchy becky film adaptation tom sawyer yet seen rachael leigh cook attractive come across forced stereotypicalteenlike acting fun moments injected nostalgic charming moments seen first half second half suspense thriller injun joe rampage feels like different film altogether two halves juxtapose much crucial scenes even adaptation quite loose heart lacking funeral scene falls flat undercharacterised rushed engagement scene came across overlysentimentalan attempt disney make story timely awkward well worst bit dialogue beckys im first hope die terrible shallow thing say first place something becky would never dream saying much dialogue weak line becky whole style nuanced feels times modern little attempt also made bringing missouris dialect language speak production values great job evocative didnt writing make effort coming someone makes big effort judging filmstv seriesliterary adaptations terms huck injun joe lesser extent tom rest actors suffer characters underdeveloped dont register result really conclude tom huck alright film though many problems along soviet filmwith bad dubbing pacing editing one weaker adaptations great book 510 bethany cox,Tom and Huck,fear
61,nineteenth century mississippi river boy jonathan taylor thomas tom sawyer tries runaway new orleans pals abort mission bloody forehead punishment young thomas directed whitewash fence guardian amy wright aunt polly thomas cleverly gets neighborhood lads finish job shares adventures rebellious bestfriend brad reno huckleberry huck finn pretty girlfriend rachael leigh cook becky thatcherwhile nothing write mark twain disney studios followup adventures huck finn 1993 serviceable films would much appealing elementary primary school set hopefully read books strengths earlier version look better simpler music score appropriate leads one wishes waited previous film release sequel tom huck original author intended tom huck 122295 peter hewitt jonathan taylor thomas brad renfro eric schweig rachael leigh cook,Tom and Huck,fear
62,tom sawyer mischievous young boy growing small us town mid1800s finds friend huckleberry finn vagrant outcast two get sorts boyish adventures one adventures witness murder leaving tom dilemmabased mark twains famous novel adaptation hardly definitive produced disney clearly made kids dumbeddown plot development subplots performances leads aimed strictly children throw pretty hammy acting round appears much going ityet positives harmless accessible version book youve never read adventures tom sawyer watched version novel quick painless introduction book short never dull doesnt feel like total waste time addition kids enjoy great disney target audienceso total writeoff,Tom and Huck,fear
63,story ok point say allday racism 18xx natives natives allways bad counterpart story even black people werent fix like natives story might good times mark twain wrote rely studios correctness change story mark twain much also admit never read book mark twain story goes way shame studio options bad wont change mind rating offside racism native stereotypes nice movie kids wouldnt show kids without teaching stereotypes natives,Tom and Huck,fear
64,know story pretty good tom sawyer movies made one capitalizes star power audience probably never heard principle character putting motives aside doesnt work best jonathan taylor thomas adequate tom brad renfro good huck much pretty boy much bright though character tries make otherwise youve read twain know tremendously superstitious really rough edges mentally physically kind whiny movie becky thatcher looks 25 years old stands next tom like giant pushes around dominates obviously director decided make attractive character young women thats bad betrays spirit period written least looked age good scenes graveyard scene well done injun joe threatening murderous funeral scene disappointment needed milked bit peripheral characters could developed conclusion works ok however needed dose truth believability carry see dont expect lot,Tom and Huck,fear
65,tom huck isnt great movie good way kids introduced characters tom sawyer huckleberry finn although may bit intense children six since plot revolves around murderer plot revenge even though movie set 1840s strong 90s feel whatever happened jonathan taylor thomas,Tom and Huck,fear
66,tom huck 1995 movie released walt disney pictures starring jonathan taylor thomas tvs home improvement lion king brad renfro based mark twains novel two mischievous boys tom sawyer huckleberry finn witnessing murder doc robinson towns undertaker evil knifethrowing injun joe remind indiana jones youve seen must sware blood tell anyone dont remain alive die tell anyone injun joe kill morning murder committed injun joe blames whole thing town drunk muff potter saying muff committed murder tom knows injun joe first saw movie kid recently viewed one favorite movies everything good movie like stated reviews movies awesome music score composed stephen endelman hunt murrells map theme fits movie perfectly amazing climax set huge scary cave makes one best youll ever see lesson boys friends trouble dont run away one favorite parts movie tom says last week aunt polly whipped swiping pie wasnt figured sid huck replies wanted beat em tom says ought punch nose huck answers youre welcome try toms says maybe later reason didnt give film 10 accents could little bit country film great family fun rating 910,Tom and Huck,fear
67,never understand adoration farcical buffoonish film receives worst thing screenplay somehow oscar dances wolves years earlier script revels sentimental austenlike next worst thing direction kind intrusive perpendicular thing always odds context seeming struggle austens nuanced yet unadorned direct message adornment end watching actors plough lines disconcerting knowing many fact decent actors blame emma thompson old part whose feeble attempts conveying subtle nuanced feelings end looking mildly farcical especially scenes elinor mariannes bedside frankly unwatchable think perhaps worst adaptation austen modern times yet highly praised one might well put big red noses huge clown feet actors kerfuffle going screen hiding empty vision compared wonderful 2008 tv film 1995 film mere buffoonery,Sense and Sensibility,sadness
68,dont think possible get anything movie unless fan versions acting bad camerawork flat dialogue dull nothing happens movie boring thinking makes want take nap audiovisual quality poor made think movie much older watched though may intention mentioned nothing interesting happens would never recommend movie reason would ever bring give example boring movie,Sense and Sensibility,sadness
69,finished reading book excited watching film looking cast received score expectations great say least disappointment viewing first half hour far great adaptationalthough cast job exceedingly well script allow room bring characters life script deviated original work much parts almost painful watch masterpiece suffer want running time rewritten sake inducing chuckles viewer might judge harshly read jane austens masterpiece still impressions great work review section seen nothing praises must conclude fault must tendency towards books rather ecranisations belief work masters never even slightly changed,Sense and Sensibility,sadness
70,first saw film cinema 11 years ago loved still think directing cinematography excellent music really script time started bother find emma thompsons writing selfabsorbed unfaithful original book reduced marianne sidecharacter second fiddle much old much severe elinor movie given many sort focus moments often appear show thompson herselfi understand cutting several characters book leaving one scene willoughby book redeemed someone red cherished book long movie things always difficult digestas actors love kate winslet marianne given best script world work still pulls gracefully without much sentimentality alan rickman great bit old perhaps plays role beautifully elizabeth spriggs absolutely fantastic always,Sense and Sensibility,sadness
71,several years ang lee make hulk movie make sense sensibility show rich british women wondering marry make hulk bored england class system movie show hulk suspend reality watch charles dickens always show class system jane austen never hulk know movie kind silly way movie intellectual sense sensibility bruce banner want turn hulk like feeling powerhulk want talk cast members kate winslet great actress hulk see eternal sunshine spotless mind finding neverland like better movies titanic next movie come hulk want see hulk like hugh grant hugh grant playboy antics distract media important issues world hulk never see four weddings funeral hear mixed things hulk see nine months think robin williams character good one moviehulk think alan rickman great actor hulk like harry potter movies glad come invasion iraq maybe get bigger role movie movie come better alan rickman get bigger role conclusion hulk think highly sense sensibility hulk never read novel movie go nowhere awful movie amount much ang lee better joy luck club ice storm crouching tiger hidden dragon hulk hulk hear new movie coming soon hulk want see,Sense and Sensibility,sadness
72,honest crazy british costume dramas huge fan jane austens classic novels think also means would never go crazy film like emma thompson also adapted novel screen plays elinor dashwood oldest sister represents sense kate winslet plays marianne dashwood younger sister represents sensibility father died must leave fortune son first marriage causes complications family daughters hopes marriageelinor begins relationship rich man edward ferrars hugh grant separated edwards wealthy family marianne hand love john willoughby greg wise time wealthy colonel brandon alan rickman eyes marianne thinks brandon old prefers willoughby insteadthe film sometimes heartwarming humorous moments overall quite bored film acting pretty standard performances still deliver winslets marianne really shines cast director ang lee shows versatility occupation perfectly  guy make good taiwanese film british costume drama film based american suburbia chinese martial arts film action film even gay cowboy movie film simply told maybe little long never read book might great fans actually got bored watching film ending predictable yet wraps story nicely,Sense and Sensibility,sadness
73,let state right top pleasant movie watch piece 19th century romantic escapism based novel name jane austen features solid acting part entire cast portrays entirely convincing picture pastoral life english countryside era focussing dashwood sisters marianne kate winslett elinor emma thompson movie deals various potential romances arise lives movie solidly rooted victorian stereotypes subdued characters somewhat reserved possibly even emotionally repressed except perhaps marianne generally provides emotion colour movie movie deals extensively romance love never openly expressed many respects struck perfect vehicle hugh grant generally comes across well playing subdued softspoken sort shy romantic roles therefore seemed perfectly cast elinors love interest edward movie often mildly humorous portrays loves ups downs wouldnt call downright funny powerful scenes featuring winslet dealing marianne betrayed love interestill confess movie isnt really cup tea speak theres nothing wrong wellacted wellwritten generally well put together personally really taste id give 510 really like types subdued romances fan jane austen understand movie fairly faithful novel youll rate much highly,Sense and Sensibility,sadness
74,find adaptation jane austens novel disappointing isnt faithful bbc miniseries pride prejudice elinor 19yr old girl novel emily thompson far old portray hugh grant makes really silly edward silly 20th century jokes added werent book elinors mother book romantic emotional marianne whereas film portrays much stricter find marianne sir john mother law well portrayed besides though dashwoods reduced circumstances jane austen never portrayed poor film makes downright silly say wont buy sugar beef whereas novel shows entertaining sir john dashwood family regular basis called cottage doesnt look like cottage invited edward willoughby stay good points straight novel witty dialogues thats added subtracted poor quality edward elinors romance credible find credible novel either male characters dont seem real love affairs except marianne willoughbys appear contrived,Sense and Sensibility,sadness
75,solid adaptation jane austen novel still somewhat disappointing problem film often classics adaptations failing true original erring extreme film fails give story modern perspectivea problem austens novels modern point view becomes increasingly difficult care heroines supposedly hard times fallen made deserve original wealth first place makes benefactors temporary misfortune undeserving comparison intended audience austens novels people belonging social class people could naturally identify situation dashwoods would find inwith modern audience different see miss dashwoods sitting beautiful garden sunny day read poetry colonel brandon word suffering doesnt readily spring mind also notice servants completely fail feature story people class apparently matter film adaptation addressed problems emma thompson preferred stay close original result film makes fine viewing people large estates somerset,Sense and Sensibility,sadness
76,always interested movie received sides atlantic film top award berlin picked well deserved academy award emma thompsonnot acting skills writing skills turning jane austen delectable cinema easy chorethe film unusual chinese director ang lee crouching tiger hidden dragon obvious director could brought literary work screenyet deserves full credit making film top notch britisher would done even executive producer american director mean reputesidney pollack must known investing winneri applaud mr lee working cinematographer michael coulter make film many shots could made many picturepostcards english landscapes rarely looked lovely details like ladies negotiating horse droppings make film realistic silent appraisal willoughbys lady friend mariannae dashwood kate winslet dance executed care intelligence common chinese cinema mr lee truly internationalalan rickman restrains histrionics pleasure watch interact well chosen castwhat film achieves merely introduce jane austen new readers also argue literary works modified intelligently screen without losing authenticity original english people far away lands berlin festival jury realized well,Sense and Sensibility,sadness
